Subject,ROI,Condition,TTP_grand,PeakAmp_grand,Baseline,Peak_amp,Peak_time
SUB712,1,Cond2,4,1.5493522340012191,0.6938799674099485,2.4842268930817593,4
SUB712,2,Cond1,4,1.5493522340012191,0.5455249197860959,2.0604458829471195,4
SUB712,2,Cond2,4,1.5493522340012191,0.7751379676470588,2.380438687254901,5
SUB712,3,Cond1,4,1.5493522340012191,0.3284139031141867,1.180054014417533,4
SUB712,3,Cond2,4,1.5493522340012191,0.3127492439024391,1.608137939605113,4
SUB712,4,Cond1,4,1.5493522340012191,0.5987191417322842,2.2412680498687667,4
SUB712,4,Cond2,4,1.5493522340012191,0.5501890103199172,2.202836517715858,5
SUB712,5,Cond1,4,1.5493522340012191,0.33678482914572877,0.9355012755443886,5
SUB712,5,Cond2,4,1.5493522340012191,0.47654003950103985,1.6133402702702715,4
SUB712,6,Cond1,4,1.5493522340012191,0.5501841560283691,2.5238268676122937,5
SUB712,6,Cond2,4,1.5493522340012191,0.557334948579161,1.6081708159675228,4
SUB712,7,Cond1,4,1.5493522340012191,1.2026900176991147,3.450264123893806,5
SUB712,7,Cond2,4,1.5493522340012191,0.6975522231139643,1.9601153461744243,4
SUB714,1,Cond1,3,1.2167988706567208,0.3370699825726675,1.4946440023856993,4
SUB714,1,Cond2,3,1.2167988706567208,0.2201333972484952,1.6919868767555164,4
SUB714,2,Cond1,3,1.2167988706567208,0.21254050449101844,1.6908251896207591,3
SUB714,2,Cond2,3,1.2167988706567208,0.09639964516129039,1.6121447938556077,4
SUB714,3,Cond1,3,1.2167988706567208,0.2261038697764822,0.7249202186588912,3
SUB714,3,Cond2,3,1.2167988706567208,0.2219288399592254,1.4210252735304103,4
SUB714,4,Cond1,3,1.2167988706567208,0.22460609966777415,1.4348214905869325,3
SUB714,4,Cond2,3,1.2167988706567208,0.01581292682926825,1.2687255439763492,3
SUB714,5,Cond1,3,1.2167988706567208,0.21004724635036492,0.6390416313868617,3
SUB714,5,Cond2,3,1.2167988706567208,0.14039947275641013,0.9413305272435899,4
SUB714,6,Cond1,3,1.2167988706567208,0.15924144479495272,1.4974159237644593,3
SUB714,6,Cond2,3,1.2167988706567208,0.0638671979166667,1.2433452552083344,3
SUB714,7,Cond1,3,1.2167988706567208,0.18914467135325136,1.6984630017574687,4
SUB714,7,Cond2,3,1.2167988706567208,0.0308933828125,0.8279223203124999,3
SUB715,1,Cond1,4,1.8606180435692954,0.2534191410601975,2.1255273330338427,4
SUB715,1,Cond2,4,1.8606180435692954,0.45464669158878435,2.729830025771739,4
SUB715,2,Cond1,4,1.8606180435692954,0.5066672330097091,1.8351531413160718,4
SUB715,2,Cond2,4,1.8606180435692954,0.29113991130174205,2.4735626947965796,4
SUB715,3,Cond1,4,1.8606180435692954,0.08948023516720595,1.945741953254225,4
SUB715,3,Cond2,4,1.8606180435692954,-0.014672841004184081,2.676086434797769,4
SUB715,4,Cond1,4,1.8606180435692954,0.13639029090909077,1.593820038228439,4
SUB715,4,Cond2,4,1.8606180435692954,0.06593845124113508,2.0963812733451515,4
SUB715,5,Cond1,4,1.8606180435692954,-0.1369119083769635,1.4968492028795806,3
SUB715,5,Cond2,4,1.8606180435692954,-0.2949545460199005,1.4487532835843904,4
